ID;Link;Name;Type;Stage Parking lot days;Stage Ready for delivery days;Stage Delivery days;Stage Discovery days;Stage New days;Stage ALIGN days;Stage DISCOVER days;Stage CAPTURE days;Stage ROLL OUT days;Stage DELIVER days;Stage Done days;Stage ABANDONED days;Stage Accepted days;Stage discover days;Stage Declined days;Stage Planned days;Stage in progress days;Stage Rolout days;Stage align days;Stage deliver days;Stage capture days;Stage abandoned days;Stage roll out days;Stage Backlog days;Stage In Progress days;Stage Impact days;Stage Acceptance days;Stage Deliver days;Stage In design days;Stage Align days;Stage Discover days;Stage To Do days;Stage In test days;Stage In review days;Stage Release to PROD days;Stage In Design days;Stage Ready for Estimation days;Stage Blocked days;Stage Selected for Development days;Stage Cancelled days;Stage In Acceptance days;Stage In Refinement days;Stage Canceled days;Stage Ready for Development days;Stage Development finished days;Stage READY TO TEST days;Stage Testing in progress days;Stage Testing finished days;Stage Refinement days;Stage Solutioning days;Stage In construction days;Stage dev Finished days;Stage Not Started days;Stage Capture days;Stage Roll Out days;Stage Tech Design days;Stage NEW days;Stage Parking lot start;Stage Ready for delivery start;Stage Delivery start;Stage Discovery start;Stage New start;Stage ALIGN start;Stage DISCOVER start;Stage CAPTURE start;Stage ROLL OUT start;Stage DELIVER start;Stage Done start;Stage ABANDONED start;Stage Accepted start;Stage discover start;Stage Declined start;Stage Planned start;Stage in progress start;Stage Rolout start;Stage align start;Stage deliver start;Stage capture start;Stage abandoned start;Stage roll out start;Stage Backlog start;Stage In Progress start;Stage Impact start;Stage Acceptance start;Stage Deliver start;Stage In design start;Stage Align start;Stage Discover start;Stage To Do start;Stage In test start;Stage In review start;Stage Release to PROD start;Stage In Design start;Stage Ready for Estimation start;Stage Blocked start;Stage Selected for Development start;Stage Cancelled start;Stage In Acceptance start;Stage In Refinement start;Stage Canceled start;Stage Ready for Development start;Stage Development finished start;Stage READY TO TEST start;Stage Testing in progress start;Stage Testing finished start;Stage Refinement start;Stage Solutioning start;Stage In construction start;Stage dev Finished start;Stage Not Started start;Stage Capture start;Stage Roll Out start;Stage Tech Design start;Stage NEW start;Stage Parking lot recurrence;Stage Ready for delivery recurrence;Stage Delivery recurrence;Stage Discovery recurrence;Stage New recurrence;Stage ALIGN recurrence;Stage DISCOVER recurrence;Stage CAPTURE recurrence;Stage ROLL OUT recurrence;Stage DELIVER recurrence;Stage Done recurrence;Stage ABANDONED recurrence;Stage Accepted recurrence;Stage discover recurrence;Stage Declined recurrence;Stage Planned recurrence;Stage in progress recurrence;Stage Rolout recurrence;Stage align recurrence;Stage deliver recurrence;Stage capture recurrence;Stage abandoned recurrence;Stage roll out recurrence;Stage Backlog recurrence;Stage In Progress recurrence;Stage Impact recurrence;Stage Acceptance recurrence;Stage Deliver recurrence;Stage In design recurrence;Stage Align recurrence;Stage Discover recurrence;Stage To Do recurrence;Stage In test recurrence;Stage In review recurrence;Stage Release to PROD recurrence;Stage In Design recurrence;Stage Ready for Estimation recurrence;Stage Blocked recurrence;Stage Selected for Development recurrence;Stage Cancelled recurrence;Stage In Acceptance recurrence;Stage In Refinement recurrence;Stage Canceled recurrence;Stage Ready for Development recurrence;Stage Development finished recurrence;Stage READY TO TEST recurrence;Stage Testing in progress recurrence;Stage Testing finished recurrence;Stage Refinement recurrence;Stage Solutioning recurrence;Stage In construction recurrence;Stage dev Finished recurrence;Stage Not Started recurrence;Stage Capture recurrence;Stage Roll Out recurrence;Stage Tech Design recurrence;Stage NEW recurrence;Project name;Project key;Stage;Stage category;Priority;Labels;Components;CreatedDate;Version;Version release;Parent key;Parent name;Parent type;Parent status;Assignee name;LinksToOutwardKey;LinksToInwardKey;Timeoriginalestimate;Timeestimate;Timespent;AggreagateTimeoriginalestimate;AggreagateTimeestimate;AggreagateTimespent;Workratio;Sprints;Story points;Worklog seconds;Epic account;Epic team;Epic phase key;Initiative key;Initiative name;Initiative type;Initiative quarter;Initiative quarter start end date;Initiative domain;Initiative prio;Initiative townsquare;Initiative dependent on;Team Name;Level Name;Is Completed;Completed Start Date;Completed Year Month;Completed Year Quarter;Now Date;All Analysis Days;All Waiting for Development Days;All Development Days;All Development Days Round Up;All Development Days Round Up to 50;All Waiting for Deployment Days;All Deployment Days;All Cycle Time Days;All Cycle Time Days Round Up;All Cycle Time Days Round Up to 50;Is in Development;Is in Development or Completed;Epic quarter
DEMO66-3;;Q1 Data Migration #8;Initiative;;;;;;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-03-02 14:13:14;2026-03-02 14:13:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;ALIGN;In Progress;Minor;;;2026-03-02T15:13:14.491+0100;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q2 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;6.2;;;;;;;;;;N;N;
DEMO66-4;;Q2 Compliance Readiness #8;Initiative;;;;;1.1;9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-26 07:21:32;2026-02-27 09:47:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;ALIGN;In Progress;Minor;;;2026-02-26T08:21:32.274+0100;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q2 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;9.4;;;;;;;;;;N;N;
DEMO66-5;;Q3 User Growth #8;Initiative;;;;;1.8;3.2;1.8;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-25 15:34:43;2026-02-27 09:47:11;2026-03-02 13:52:09;2026-03-04 08:55:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;CAPTURE;To Do;Minor;;;2026-02-25T16:34:43.570+0100;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q3 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;5.0;;;;;;;;;;N;N;
DEMO66-6;;Q4 Integration Expansion #8;Initiative;;;;;2.1;3.2;1.8;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-25 08:21:02;2026-02-27 09:47:48;2026-03-02 13:52:00;2026-03-04 08:55:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;CAPTURE;To Do;Minor;;;2026-02-25T09:21:02.008+0100;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q3 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;5.0;;;;;;;;;;N;N;
DEMO66-7;;Q1 Technical Debt Reduction #8;Initiative;;;;;;;;;0.4;47.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-01-20 08:52:08;;;;2026-01-20 08:52:09;2026-01-20 18:52:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DELIVER;In Progress;Major;label-e0c6c7;;2026-01-20T09:52:08.610+0100;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q3 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;;47.0;;;;;0.4;0.4;1.0;1.0;N;N;
DEMO66-8;;Q2 Observability #8;Initiative;;;;;;;;;;80.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-12-18 11:48:09;;;;;2025-12-18 11:48:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DELIVER;In Progress;Major;;;2025-12-18T12:48:09.257+0100;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q1 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;;80.3;;;;;;;;;N;N;
DEMO66-9;;Q1 Platform Reliability #9;Initiative;;;;;;;93.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-12-05 10:54:13;;2025-12-05 10:55:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DISCOVER;In Progress;Major;;;2025-12-05T11:54:13.492+0100;;;;;;;;;;;;;;;;-1;;;0;;;;;;;Q1 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;93.4;;;;;;;;;;N;N;
DEMO66-10;;Q2 Customer Onboarding Revamp #9;Initiative;;;;;93.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-12-05 10:25:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;New;To Do;Major;;;2025-12-05T11:25:41.409+0100;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;;;;;;;;;;;N;N;
DEMO66-2;;Q1 Data Migration;Initiative;;;;;;;54.2;62.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-01-13 14:19:36;2025-11-12 14:16:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DISCOVER;In Progress;Major;;;2025-11-12T15:16:18.498+0100;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q1 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;54.2;;;;;;;;;;N;N;
DEMO66-11;;Q1 Performance Optimization #9;Initiative;;;;;;;54.2;62.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-01-13 14:19:25;2025-11-12 12:54:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DISCOVER;In Progress;Major;;;2025-11-12T13:54:41.249+0100;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q2 2026;;;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;54.2;;;;;;;;;;N;N;
